year,month,day,week,temp_2,temp_1,average,actual,friend
2019,1,1,Fri,45,45,45.6,45,29
2019,1,2,Sat,44,45,45.7,44,61
2019,1,3,Sun,45,44,45.8,41,56
2019,1,4,Mon,44,41,45.9,40,53
2019,1,5,Tues,41,40,46,44,41
2019,1,6,Wed,40,44,46.1,51,40
2019,1,7,Thurs,44,51,46.2,45,38
2019,1,8,Fri,51,45,46.3,48,34
2019,1,9,Sat,45,48,46.4,50,47
2019,1,10,Sun,48,50,46.5,52,49
2019,1,11,Mon,50,52,46.7,45,39
2019,1,12,Tues,52,45,46.8,49,61
2019,1,13,Wed,45,49,46.9,55,33
2019,1,14,Thurs,49,55,47,49,58
2019,1,15,Fri,55,49,47.1,48,65
2019,1,16,Sat,49,48,47.3,54,28
2019,1,17,Sun,48,54,47.4,50,47
2019,1,18,Mon,54,50,47.5,54,58
2019,1,19,Tues,50,54,47.6,48,53
2019,1,20,Wed,54,48,47.7,52,61
2019,1,21,Thurs,48,52,47.8,52,57
2019,1,22,Fri,52,52,47.9,57,60
2019,1,23,Sat,52,57,48,48,37
2019,1,24,Sun,57,48,48.1,51,54
2019,1,25,Mon,48,51,48.2,54,63
2019,1,26,Tues,51,54,48.3,56,61
2019,1,27,Wed,54,56,48.4,57,54
2019,1,28,Thurs,56,57,48.4,56,34
2019,1,29,Fri,57,56,48.5,52,49
2019,1,30,Sat,56,52,48.6,48,47
2019,1,31,Sun,52,48,48.7,47,61
2019,2,1,Mon,48,47,48.8,46,51
2019,2,2,Tues,47,46,48.8,51,56
2019,2,3,Wed,46,51,48.9,49,40
2019,2,4,Thurs,51,49,49,49,44
2019,2,5,Fri,49,49,49.1,53,45
2019,2,6,Sat,49,53,49.1,49,56
2019,2,7,Sun,53,49,49.2,51,63
2019,2,8,Mon,49,51,49.3,57,34
2019,2,9,Tues,51,57,49.4,62,57
2019,2,10,Wed,57,62,49.4,56,30
2019,2,11,Thurs,62,56,49.5,55,37
2019,2,12,Fri,56,55,49.6,58,33
2019,2,15,Mon,55,58,49.9,55,53
2019,2,16,Tues,58,55,49.9,56,55
2019,2,17,Wed,55,56,50,57,46
2019,2,18,Thurs,56,57,50.1,53,34
2019,2,19,Fri,57,53,50.2,51,42
2019,2,20,Sat,53,51,50.4,53,43
2019,2,21,Sun,51,53,50.5,51,46
2019,2,22,Mon,53,51,50.6,51,59
2019,2,23,Tues,51,51,50.7,60,43
2019,2,24,Wed,51,60,50.8,59,46
2019,2,25,Thurs,60,59,50.9,61,35
2019,2,26,Fri,59,61,51.1,60,65
2019,2,27,Sat,61,60,51.2,57,61
2019,2,28,Sun,60,57,51.3,53,66
2019,3,1,Tues,53,54,51.5,58,53
2019,3,2,Wed,54,58,51.6,55,37
2019,3,3,Thurs,58,55,51.8,59,71
2019,3,4,Fri,55,59,51.9,57,45
2019,3,5,Sat,59,57,52.1,64,46
2019,3,6,Sun,57,64,52.2,60,49
2019,3,7,Mon,64,60,52.4,53,71
2019,3,8,Tues,60,53,52.5,54,70
2019,3,9,Wed,53,54,52.7,55,57
2019,3,10,Thurs,54,55,52.8,56,50
2019,3,11,Fri,55,56,53,55,36
2019,3,12,Sat,56,55,53.1,52,65
2019,3,13,Sun,55,52,53.3,54,54
2019,3,14,Mon,52,54,53.4,49,44
2019,3,15,Tues,54,49,53.6,51,70
2019,3,16,Wed,49,51,53.7,53,65
2019,3,17,Thurs,51,53,53.9,58,62
2019,3,18,Fri,53,58,54,63,56
2019,3,19,Sat,58,63,54.2,61,62
2019,3,20,Sun,63,61,54.3,55,50
2019,3,21,Mon,61,55,54.5,56,52
2019,3,22,Tues,55,56,54.6,57,64
2019,3,23,Wed,56,57,54.7,53,70
2019,3,24,Thurs,57,53,54.9,54,72
2019,3,25,Fri,53,54,55,57,42
2019,3,26,Sat,54,57,55.2,59,54
2019,3,27,Sun,57,59,55.3,51,39
2019,3,28,Mon,59,51,55.5,56,47
2019,3,29,Tues,51,56,55.6,64,45
2019,3,30,Wed,56,64,55.7,68,57
2019,3,31,Thurs,64,68,55.9,73,56
2019,4,1,Fri,68,73,56,71,41
2019,4,2,Sat,73,71,56.2,63,45
2019,4,3,Sun,71,63,56.3,69,64
2019,4,4,Mon,63,69,56.5,60,45
2019,4,5,Tues,69,60,56.6,57,72
2019,4,6,Wed,60,57,56.8,68,64
2019,4,7,Thurs,57,68,56.9,77,38
2019,4,8,Fri,68,77,57.1,76,41
2019,4,9,Sat,77,76,57.2,66,74
2019,4,10,Sun,76,66,57.4,59,60
2019,4,11,Mon,66,59,57.6,58,40